borough,cd,schooldist,zipcode,address,bldgclass,landuse,numfloors,bldgdepth,yearbuilt,landmark,latitude,longitude
MN,106.0,2.0,10016.0,239 EAST 39 STREET,C,2.0,4.0,52.0,1900.0,,40.7484302,-73.974242
MN,106.0,2.0,10017.0,222 EAST 41 STREET,R,8.0,25.0,197.0,2001.0,,40.7493249,-73.9740829
MN,106.0,2.0,10016.0,235 EAST 40 STREET,R,4.0,41.0,0.0,1986.0,,40.7492096,-73.9736751
MN,106.0,2.0,10016.0,250 EAST 40 STREET,R,4.0,48.0,0.0,1988.0,,40.7485398,-73.9736537
MN,106.0,2.0,10158.0,605 3 AVENUE,O,5.0,43.0,244.0,1963.0,,40.7489491,-73.9750755
MN,106.0,2.0,10016.0,243 EAST 39 STREET,C,2.0,5.0,72.0,1900.0,,40.7483725,-73.9741049
MN,106.0,2.0,10017.0,766 2 AVENUE,D,4.0,21.0,0.0,2020.0,,40.7489101,-73.9725095
MN,106.0,2.0,10017.0,325 EAST 41 STREET,D,3.0,10.5,74.0,1929.0,,40.748973,-73.9716721
MN,106.0,2.0,10016.0,222 EAST 40 STREET,D,3.0,36.0,182.0,2015.0,,40.7487075,-73.9745054
MN,106.0,2.0,10016.0,235 EAST 39 STREET,C,2.0,4.0,50.0,1900.0,,40.7484467,-73.9744044
MN,106.0,2.0,10017.0,747 2 AVENUE,D,4.0,34.0,155.0,1972.0,,40.748957,-73.9733432
MN,106.0,2.0,10017.0,763 2 AVENUE,C,4.0,4.0,75.0,1935.0,,40.7491573,-73.9730616
MN,106.0,2.0,10016.0,232 EAST 40 STREET,D,4.0,6.0,99.0,1910.0,,40.7486854,-73.9742095
MN,106.0,2.0,10017.0,768 2 AVENUE,O,5.0,17.0,70.0,1964.0,,40.7493574,-73.9721989
MN,106.0,2.0,10016.0,EAST 40 STREET,G,10.0,,0.0,0.0,,40.7486936,-73.9740831
MN,106.0,2.0,10017.0,310 EAST 42 STREET,M,8.0,3.0,91.0,1928.0,,40.7493381,-73.9717839
MN,106.0,2.0,10016.0,238 EAST 40 STREET,Y,8.0,2.0,50.0,1940.0,,40.7486607,-73.9740074
