zipcode,address,bldgclass,numfloors,bldgdepth,yearbuilt,latitude,longitude
10017.0,222 EAST 41 STREET,Residential,25.0,197.0,2001.0,40.7493249,-73.9740829
10016.0,235 EAST 40 STREET,Residential,41.0,0.0,1986.0,40.7492096,-73.9736751
10016.0,250 EAST 40 STREET,Residential,48.0,0.0,1988.0,40.7485398,-73.9736537
10158.0,605 3 AVENUE,High Rise,43.0,244.0,1963.0,40.7489491,-73.9750755
10016.0,243 EAST 39 STREET,Residential,5.0,72.0,1900.0,40.7483725,-73.9741049
10017.0,766 2 AVENUE,High Rise,21.0,0.0,2020.0,40.7489101,-73.9725095
10017.0,325 EAST 41 STREET,High Rise,10.5,74.0,1929.0,40.748973,-73.9716721
10016.0,222 EAST 40 STREET,High Rise,36.0,182.0,2015.0,40.7487075,-73.9745054
10016.0,235 EAST 39 STREET,Residential,4.0,50.0,1900.0,40.7484467,-73.9744044
10017.0,747 2 AVENUE,High Rise,34.0,155.0,1972.0,40.748957,-73.9733432
10017.0,763 2 AVENUE,Residential,4.0,75.0,1935.0,40.7491573,-73.9730616
10016.0,232 EAST 40 STREET,High Rise,6.0,99.0,1910.0,40.7486854,-73.9742095
10017.0,768 2 AVENUE,High Rise,17.0,70.0,1964.0,40.7493574,-73.9721989
10016.0,EAST 40 STREET,Commercial,,0.0,0.0,40.7486936,-73.9740831
10017.0,310 EAST 42 STREET,Commercial,3.0,91.0,1928.0,40.7493381,-73.9717839
10016.0,238 EAST 40 STREET,Commercial,2.0,50.0,1940.0,40.7486607,-73.9740074
10016.0,242 EAST 40 STREET,Residential,4.0,53.0,1920.0,40.7486277,-73.9739244
10016.0,241 EAST 39 STREET,Residential,4.0,52.0,1900.0,40.7484055,-73.9741807
10017.0,301 EAST 40 STREET,High Rise,21.0,235.0,1963.0,40.7485588,-73.9724988
10017.0,819 2 AVENUE,Residential,4.0,76.0,1900.0,40.7510508,-73.9716713
10017.0,220 EAST 42 STREET,Residential,37.0,330.0,1928.0,40.7497694,-73.9731804
10017.0,205 EAST 42 STREET,Residential,21.0,200.0,1929.0,40.7508097,-73.9735373
10017.0,222 EAST 44TH STREET,Residential,42.0,200.83,1964.0,40.7513118,-73.972689
10017.0,815 2 AVENUE,High Rise,11.0,125.0,1963.0,40.7508395,-73.971841
10017.0,817 2 AVENUE,Residential,4.0,52.0,1901.0,40.7510069,-73.9717038
10017.0,675 3 AVENUE,High Rise,31.0,105.0,1966.0,40.7510156,-73.9738693
10017.0,685 3 AVENUE,High Rise,27.0,130.0,1960.0,40.7515809,-73.9733313
10017.0,246 EAST 44 STREET,Residential,5.0,65.0,1910.0,40.7511469,-73.9718156
10017.0,235 EAST 42 STREET,High Rise,33.0,225.0,1960.0,40.7503923,-73.9725233
10017.0,230 EAST 44 STREET,High Rise,14.0,94.0,1963.0,40.751254,-73.9721548
10017.0,231 EAST 43 STREET,High Rise,20.0,0.0,2012.0,40.7509439,-73.9721983
10016.0,245 EAST 39 STREET,Residential,5.0,72.0,1900.0,40.7483368,-73.9740147
10017.0,219 EAST 42 STREET,High Rise,9.0,200.0,1905.0,40.7506724,-73.9730501
10017.0,202 EAST 42 STREET,Commercial,5.0,72.0,1946.0,40.7503789,-73.9741438
10017.0,823 2 AVENUE,Residential,4.0,75.0,1900.0,40.7511469,-73.9716026
10017.0,214 EAST 42 STREET,High Rise,40.0,194.0,1980.0,40.7501072,-73.9739815
10017.0,45 TUDOR CITY PLACE,High Rise,23.5,56.0,1927.0,40.7493459,-73.9699937
10017.0,338 EAST 44 STREET,High Rise,15.0,100.0,1987.0,40.7502846,-73.9698526
10017.0, TUDOR CITY PLACE,Commercial,,0.0,0.0,40.7495381,-73.9703907
10017.0,773 1 AVENUE,Commercial,6.0,100.0,1966.0,40.7499661,-73.9694016
10017.0,765 1 AVENUE,High Rise,5.0,73.75,1926.0,40.7498014,-73.9694738
10017.0,763 1 AVENUE,Commercial,6.0,68.0,1928.0,40.7497108,-73.9695424
10017.0,777 1 AVENUE,High Rise,12.0,92.0,1963.0,40.7501197,-73.9692896
10017.0,315 EAST 43 STREET,High Rise,10.0,86.0,1928.0,40.7502381,-73.9705022
10017.0,820 2 AVENUE,Residential,19.0,100.0,1962.0,40.7508064,-73.9710975
10017.0,800 2 AVENUE,Residential,18.0,80.0,1957.0,40.7500545,-73.9716717
10017.0,806 2 AVENUE,Residential,28.0,0.0,1983.0,40.7505594,-73.9712564
10017.0,333 EAST 41 STREET,High Rise,6.0,86.0,1926.0,40.7488192,-73.9713077
10017.0, TUDOR CITY PLACE,Commercial,,0.0,0.0,40.7487999,-73.9709287
10017.0,1 TUDOR CITY PLACE,High Rise,26.0,108.0,1930.0,40.7479847,-73.9708786
10017.0,801 2 AVENUE,High Rise,22.0,75.0,1932.0,40.7504251,-73.9721299
10017.0,328 EAST 43 STREET,High Rise,10.0,85.0,1928.0,40.7498127,-73.9707009
10017.0,225 EAST 43 STREET,Education,4.0,100.0,1950.0,40.7510345,-73.9724112
10017.0,312 EAST 42 STREET,High Rise,32.0,76.0,1929.0,40.749209,-73.9714808
10017.0,328 EAST 42 STREET,Commercial,,0.0,0.0,40.749047,-73.9711524
10017.0,327 EAST 42 STREET,Commercial,,0.0,0.0,40.7495437,-73.9707949
10017.0,235 EAST 43 STREET,High Rise,26.0,200.0,1990.0,40.7509823,-73.9719997
10017.0,305 EAST 43 STREET,Commercial,5.0,100.0,1950.0,40.7504056,-73.9708956
10016.0,685 FIRST AVENUE,Residential,44.0,113.0,2016.0,40.747403,-73.971413
10016.0,300 EAST 40 STREET,Residential,32.0,160.0,1967.0,40.7480017,-73.9728383
10016.0,247 EAST 39 STREET,Residential,5.0,72.0,1900.0,40.7482984,-73.9739245
10016.0,729 2ND AVENUE,Commercial,,0.0,0.0,40.7482599,-73.9737188
10017.0,655 3 AVENUE,High Rise,28.0,105.0,1958.0,40.7502719,-73.9744146
10016.0,237 EAST 39 STREET,High Rise,4.0,45.0,1920.0,40.7484137,-73.9743323
10034.0,423 WEST 218 STREET,Commercial,1.0,98.0,1922.0,40.870941,-73.9128394
10034.0,400 WEST 219 STREET,Commercial,,0.0,0.0,40.8708252,-73.9121959
10034.0,409 WEST 218 STREET,Commercial,1.0,100.0,1970.0,40.870842,-73.9126045
10034.0,3815 9 AVENUE,Commercial,1.0,100.0,1970.0,40.8619669,-73.9179667
10034.0,409 WEST 220 STREET,Commercial,,0.0,0.0,40.8721203,-73.9116591
10034.0,9 AVE,Commercial,,0.0,0.0,40.8715021,-73.9107921
10034.0,9 AVENUE,Commercial,,0.0,0.0,40.8722899,-73.9109031
10034.0,4116 9 AVENUE,High Rise,4.0,100.0,1950.0,40.8714534,-73.9117323
10034.0,4055 10 AVENUE,High Rise,1.0,485.0,2007.0,40.8700882,-73.9138529
10034.0,WEST 204 STREET,Commercial,,0.0,0.0,40.8618156,-73.9175945
10034.0,3816 9 AVENUE,Education,1.0,100.0,1970.0,40.8621951,-73.9185195
