name,longitude,latitude
8 Ave & W 52 St,-73.9851615,40.76370739
10 Ave & W 202 St,-73.921417593956,40.861281970750994
St Nicholas Terrace & Convent Ave,-73.947868,40.821294
W 42 St & 8 Ave,-73.99098507,40.7575699
Calyer St & Guernsey St,-73.95505852997303,40.72755807335852
5 St & 51 Ave,-73.9566,40.7423737
Lenox Ave & W 130 St,-73.9430681,40.8107922
E 1 St & Bowery,-73.99213135242462,40.72486122254819
39 Ave & 45 St,-73.91826465725897,40.74947822183477
W 180 St & Ft Washington Ave,-73.938423,40.849972
W 84 St & Amsterdam Ave,-73.9756,40.78621
E 14 St & 1 Ave,-73.98286700248718,40.73139303364151
33 St & 47 Ave,-73.9321,40.74283
34 Ave & 45 St,-73.917014,40.754795
E 170 St & Clay Ave,-73.908345,40.837213
Manhattan Ave & Leonard St,-73.94844,40.72084
46 St & Queens Blvd,-73.91860529780388,40.74349759836971
Cathedral Pkwy & Broadway,-73.96699104,40.804213
E 58 St & 1 Ave (NW Corner),-73.962658,40.759125
W 170 St & University Ave,-73.926075,40.84207
Huron St & Franklin St,-73.95826,40.73266
E 123 St & Lexington Ave,-73.9379,40.8029263
Allen St & Hester St,-73.99190759,40.71605866
Lexington Ave & E 120 St,-73.9398167,40.8013066
Roebling St & N 4 St,-73.95739,40.71469
E 91 St & 2 Ave,-73.94963040947914,40.78115276427916
Adam Clayton Powell Blvd & W 138 St,-73.9422959089279,40.81695971032464
Frost St & Debevoise Ave,-73.93948,40.71882
Pike St & E Broadway,-73.99293911,40.71406667
Ave A & E 14 St,-73.98047178983688,40.73031071000895
Broadway & Battery Pl,-74.01361706,40.70463334
11 Ave & W 59 St,-73.99046033620834,40.77149671054441
Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121
Lenox Ave & W 144 St,-73.936521,40.819783
2 Ave & E 104 St,-73.94370784,40.7892105
E 118 St & Park Ave,-73.9419949,40.8005385
27 Ave & 9 St,-73.9309134,40.7739825
Central Park West & W 85 St,-73.969862,40.78476
35 St & 21 Ave,-73.906558,40.776745
McKibbin St & Bogart St,-73.933871,40.706237
11 Ave & W 27 St,-74.005226,40.751396
Lafayette St & E 8 St,-73.99102628231049,40.73020660529954
Allen St & Rivington St,-73.98997825,40.72019576
W 43 St & 6 Ave,-73.98316936,40.75527307
Adam Clayton Powell Blvd & W 132 St,-73.94521,40.813539
Amsterdam Ave & W 136 St,-73.951819,40.819746
E 68 St & Madison Ave,-73.96703464,40.7691572
20 Ave & 21 St,-73.912297,40.784003
Greenpoint Ave & Monitor St,-73.94383,40.73224
3 Ave & E 72 St,-73.96060712,40.7699426
Walton Ave & E 151 St,-73.92753845245076,40.82090903827738
Broadway & 49 St,-73.911517,40.755389
Cypress Ave & Palmetto St,-73.90876293182373,40.70157340873792
E 27 St & 1 Ave,-73.976806,40.739445
Cedar Ave & W Fordham Rd,-73.91219,40.86156
31 St & Broadway,-73.925921,40.761584
Queens Blvd & 56 St,-73.90913,40.74193
E 141 St & St Ann's Ave,-73.916124,40.808633
E 89 St & 3 Ave,-73.9521667,40.7806284
9 Ave & W 39 St,-73.99410143494606,40.756403523272496
21 Ave & Shore Blvd,-73.916894,40.783956
S 5 Pl & S 5 St,-73.960876,40.710451
48 St & 37 Ave,-73.915026,40.751555
Andrews Ave S & W 179 St,-73.91278,40.855156
Seaman Ave & Isham St,-73.92076313495636,40.86989866194045
E 155 St & Courtlandt Ave,-73.917579,40.82057
Lenox Ave & W 133 St,-73.941878,40.81296
20 Ave & 31 St,-73.90667617321014,40.78001336610564
E Tremont Ave & Jerome Ave,-73.908964,40.851747
